Job Class,Percentage,
Management,6.1,https://www.indeed.com/q-General-Manager-l-New-York-NY-jobs.html
Business and Financial operations,5,https://www.bls.gov/oes/current/oes130000.htm
Computer and Mathematical,2.7,http://www.careers.org/occupations/field/15/computer-and-mathematical
Architecture and Engineering,1.7,https://www.indeed.com/q-Architectural-Engineer-jobs.html
"Life, Physical and Social Science",0.9,https://www.bls.gov/oes/current/oes190000.htm
Community and Social Service,1.6,https://www.indeed.com/q-Community-Social-Services-jobs.html
Legal,0.8,https://www.indeed.com/q-Legal-l-New-York-NY-jobs.html
"Education, training and library",6.1,https://www.bls.gov/oes/current/oes250000.htm
"Arts, design, entertainment, sports and media",1.7,https://www.bls.gov/oes/current/oes270000.htm
Healthcare practioners and technical,5.5,https://www.bls.gov/oes/current/oes290000.htm
Healthcare support,2.8,https://money.usnews.com/careers/best-jobs/rankings/best-health-care-support-jobs
Protective service,2.3,https://www.indeed.com/q-Protective-Services-jobs.html
Food preparation and serving,8.3,https://www.bls.gov/oes/currenT/oes350000.htm
Building and grounds cleaning and maintenance,3.7,https://www.bls.gov/oes/current/oes370000.htm
Personal care and service,4,https://www.bls.gov/ooh/personal-care-and-service/home.htm
Sales,10.2,https://www.indeed.com/q-Sales-Representative-l-New-York-NY-jobs.html
Office and administrative support,15.1,https://www.bls.gov/oes/current/oes430000.htm
"Farming, fishing and forestry",0.6,https://www.bls.gov/ooh/farming-fishing-and-forestry/home.htm
Construction and extraction,4.3,https://www.bls.gov/oes/current/oes470000.htm
"Installation, maintenance and repair",3.8,https://www.bls.gov/ooh/installation-maintenance-and-repair/home.htm
Production,6.1,https://www.indeed.com/q-Film-Production-l-New-York-NY-jobs.html
Transportation and material moving,6.5,https://www.bls.gov/ooh/transportation-and-material-moving/home.htm
Total,99.8,https://www.bls.gov/regions/new-york-new-jersey/data/xg-tables/ro2xgcesnyc.htm